Boise,0,BSU|Micron|Interstate 84|Performing Arts Center|ITT|Boise Greenbelt|Boise River
Boise,1,Whitewater Park
Boise,2,Meridian|Albertsons|The Village at Meridian|Julius M. Kleiner Memorial Park|Big Al's Bowling Center|
Boise,3,Boise State|Ann Morrison Park|greenbelt|Trader Joe's|the Knitting Factory
Boise,4,Quinn's Pond|Boise River Greenbelt|Boise River Park|Ester Simplot Park|Idaho River Sports|Greenbelt|Boise State University
Boise,5,BSU|Public Library|Ann Morrison Park|Zoo|Discovery Center|Downtown Boise|Green Belt|St Luke's Hospital|Hot Air Balloon Classic|Jefferson Elementary|South Junior High|Borah High school
Boise,6,greenbelt|BSU
Boise,7,Village at Meridian|
Boise,8,freeway|airport|Whitney Elementary School
Boise,9,Boise Bench|BSU|downtown
Boise,10,Boise State|downtown|freeway|
Boise,11,BSU|downtown|
Boise,12,downtown|BSU|Boise River|Greenbelt|Capital|
Boise,13,Boise Co-op|downtown|Hyde Park|
Boise,14,freeway|downtown|Boise river
Boise,15,greenbelt|BSU
Boise,16,North End|Hyde Park|downtown|Albertsons|VA hospital|St. Luke's|BSU|Simplot headquarters
Boise,17,Parkcenter Blvd|Greenbelt|downtown|airport|Bown Crossing
Boise,18,Downtown|freeway
Boise,19,BSU|Federal Way|Protest Hill
Chicago,0,Lincoln Square|Mariano's|Ravenswood|Lawrence Metra stop
Chicago,1,Millennium Park|lake
Chicago,2,Ravenswood|Marianos|LA Fitness|Over Easy|Bang Bang Pie|Andersonville|Hopleaf bar|Taste of Heaven|Starbucks|Winnemac Park
Chicago,3,Lincoln Square|Western Brown Line|Ravenswood Metra station|St. Matthias school|Mc Phearson school|Walgreens|Core Power Yoga|Athletic Club|Davis Theater|German pubs|HALF ACRE brewery and bar|Lou Malnati's Pizzeria|Gene's Sausage Shop|Giddings Plaza|Mariano's|Tony's|Aldi|Harvest Market 
Chicago,4,the Loop|West Loop|River North|
Chicago,5,LAKE|Jarvis Beach|Rogers Park Fruit Mart|Jewel Osco|Glenwood Farmer's Market|Rogers Park|Heartland Cafe
Chicago,6,River North|Old Town|Lincoln Park|Bucktown/Wicker Park|Goose Island|Lake Michigan
Chicago,7,John Hancock Building
Chicago,8,Ashland|Irving Park|Lincoln Park|Old Town|Lincoln Square|Ravenswood|Albany Park
Chicago,9,Uptown|Hickory Park|Gooseberry Park|Chase Park|Lakefront trail|Green Mill Jazz club|Andersonville|Wrigley Field|
Chicago,10,Chicago River|Theater District|Millennium Park|Art Institute of Chicago|Chicago River|Lake Michigan|
Chicago,11,Lincoln Park|Lake Michigan|L. A. Health Club|Lincoln Park Zoo|Diversey Harbor
Chicago,12,Wrigleyville|
Chicago,13,Clybourn|Whole Foods|Aldi's|Apple Store
Chicago,14,East Humboldt Park|Ukrainian Village|Wicker/Bucktown|Noble Square|Columbia|UIC|Roosevelt
Chicago,15,McKINLEY PARK|UIC|IIT|Chinatown
Chicago,16,lake|Lincoln Park|Diversey Harbor|Wrigley Field|Trader Joe's|Walmart Express|Starbucks|
Chicago,17,Lincoln Park|Lincoln Park Zoo|North Ave Beach|Fullerton|
Chicago,18,South Loop|Lake Michigan|Columbia College|Roosevelt University|Robert Morris University|
Chicago,19,Pilsen|UIC|RUSH Medical District|downtown|
LosAngeles,0,Universal City Walk|Studio City|Toluca Lake|Valley Glen|Valley Village|Van Nuys|Sherman Oaks|Hollywood Hills|Burbank
